Expo_Name,Expo_Year,Expo_Country,Expo_City,Setlist,Song_Name,Song_Artist,Song_Vocalist,Song_Plays(Mil)
Miku Expo 2014 New York,2014,United States of America,New York,Miku Expo 2014 USA,Butterfly on Your Right Shoulder,noripy,Rin & Len,38
Miku Expo 2014 New York,2014,United States of America,New York,Miku Expo 2014 USA,Melancholic,Junky,Rin,26
Miku Expo 2014 New York,2014,United States of America,New York,Miku Expo 2014 USA,Kokoro,Toraboruta,Rin,6.5
Miku Expo 2014 New York,2014,United States of America,New York,Miku Expo 2014 USA,Glass Wall,GuitarHeroPianoZero,Miku,2.1
Miku Expo 2014 New York,2014,United States of America,New York,Miku Expo 2014 USA,Torinoko City,40mP,Miku,10.5
Miku Expo 2014 New York,2014,United States of America,New York,Miku Expo 2014 USA,Close and Open,HACHI,Miku,11
Miku Expo 2014 New York,2014,United States of America,New York,Miku Expo 2014 USA,Romeo and Cinderella,doriko,Miku,66
Miku Expo 2014 New York,2014,United States of America,New York,Miku Expo 2014 USA,The Snow White Princess is,Noboru,Miku,4.9
Miku Expo 2014 New York,2014,United States of America,New York,Miku Expo 2014 USA,Piano×Forte×Scandal,OSTER project,Meiko,3
Miku Expo 2014 New York,2014,United States of America,New York,Miku Expo 2014 USA,Pane dhiria,ShinjouP,Kaito,0.5
Miku Expo 2014 New York,2014,United States of America,New York,Miku Expo 2014 USA,PoPiPo,LamazeP,Miku,5
Miku Expo 2014 New York,2014,United States of America,New York,Miku Expo 2014 USA,Parades,whoo,Miku,0.1
Miku Expo 2014 New York,2014,United States of America,New York,Miku Expo 2014 USA,Just be Friends,Dixie Flatline,Luka,18.7
Miku Expo 2014 New York,2014,United States of America,New York,Miku Expo 2014 USA,Luka Luka★Night Fever,samfree,Luka,36.5
Miku Expo 2014 New York,2014,United States of America,New York,Miku Expo 2014 USA,Secret Police,BuririP,Miku,1
Miku Expo 2014 New York,2014,United States of America,New York,Miku Expo 2014 USA,Yellow,kz,Miku,1
Miku Expo 2014 New York,2014,United States of America,New York,Miku Expo 2014 USA,World is Mine,"ryo, supercell",Miku,67.5
Miku Expo 2014 New York,2014,United States of America,New York,Miku Expo 2014 USA,Melt,ryo,Miku,34
Miku Expo 2014 New York,2014,United States of America,New York,Miku Expo 2014 USA,Tell Your World,kz,Miku,50.5
Miku Expo 2014 New York,2014,United States of America,New York,Miku Expo 2014 USA,I'll Make You Do the Miku Miku♪ (You'll Do It),ika,Miku,17.4
Miku Expo 2014 New York,2014,United States of America,New York,Miku Expo 2014 USA,Starduster,JimmyThumbP,Miku,1.2
Miku Expo 2015 Shanghai,2015,China,Shanghai,Miku Expo 2015 China,Sharing The World,BIGHEAD,Miku,1.3
Miku Expo 2015 Shanghai,2015,China,Shanghai,Miku Expo 2015 China,2D Dream Fever,PolyphonicBranch,Miku,3.1
Miku Expo 2015 Shanghai,2015,China,Shanghai,Miku Expo 2015 China,Two-Sided Lovers,Wowaka,Miku,43.5
Miku Expo 2015 Shanghai,2015,China,Shanghai,Miku Expo 2015 China,Common World Denomination,PinnochioP,Miku,19.7
Miku Expo 2015 Shanghai,2015,China,Shanghai,Miku Expo 2015 China,Tokyo Teddy Bear,Neru & Ore BananaP,Rin,37.2
Miku Expo 2015 Shanghai,2015,China,Shanghai,Miku Expo 2015 China,Meltdown,iroha,Rin,55.8
Miku Expo 2015 Shanghai,2015,China,Shanghai,Miku Expo 2015 China,Fire◎Flower,halyosy,Len,7.1
Miku Expo 2015 Shanghai,2015,China,Shanghai,Miku Expo 2015 China,Butterfly on Your Right Shoulder,noripy,Rin & Len,38
Miku Expo 2015 Shanghai,2015,China,Shanghai,Miku Expo 2015 China,Spinning Song,DATEKEN,Rin & Len,1.1
Miku Expo 2015 Shanghai,2015,China,Shanghai,Miku Expo 2015 China,Romeo and Cinderella,doriko,Miku,66
Miku Expo 2015 Shanghai,2015,China,Shanghai,Miku Expo 2015 China,Weekender Girl,kz & HachioujiP,Miku,15.7
Miku Expo 2015 Shanghai,2015,China,Shanghai,Miku Expo 2015 China,World's End Dancehall,wowaka,Miku & Luka,45.5
Miku Expo 2015 Shanghai,2015,China,Shanghai,Miku Expo 2015 China,Daybreak Arrival,Last Note,Miku & Luka,5.2
Miku Expo 2015 Shanghai,2015,China,Shanghai,Miku Expo 2015 China,Pane dhiria,ShinjouP,Kaito,0.5
Miku Expo 2015 Shanghai,2015,China,Shanghai,Miku Expo 2015 China,Change Me,shu-t,Meiko,1.7
Miku Expo 2015 Shanghai,2015,China,Shanghai,Miku Expo 2015 China,Deep Sea Girl,Yuuyu,Miku,29.3
Miku Expo 2015 Shanghai,2015,China,Shanghai,Miku Expo 2015 China,"Last Night, Good Night",kz,Miku,3.8
Miku Expo 2015 Shanghai,2015,China,Shanghai,Miku Expo 2015 China,Just be Friends,Dixie Flatline,Luka,18.7
Miku Expo 2015 Shanghai,2015,China,Shanghai,Miku Expo 2015 China,Tell Your World,kz,Miku,50.5
Miku Expo 2015 Shanghai,2015,China,Shanghai,Miku Expo 2015 China,Cat Food,doriko,Miku,4.2
Miku Expo 2015 Shanghai,2015,China,Shanghai,Miku Expo 2015 China,Secret Police,BuririP,Miku,1
Miku Expo 2015 Shanghai,2015,China,Shanghai,Miku Expo 2015 China,The Intense Voice of Hatsune Miku,cosMo@BousouP,Miku,5
Miku Expo 2015 Shanghai,2015,China,Shanghai,Miku Expo 2015 China,World is Mine,"ryo, supercell",Miku,67.5
Miku Expo 2015 Shanghai,2015,China,Shanghai,Miku Expo 2015 China,ODDS&ENDS,ryo,Miku,17.5
Miku Expo 2015 Shanghai,2015,China,Shanghai,Miku Expo 2015 China,Moon West River,SolPie,Miku,0.1
Miku Expo 2015 Shanghai,2015,China,Shanghai,Miku Expo 2015 China,39,DECO*27 & sasakure,Miku,7.2
Miku Expo 2015 Shanghai,2015,China,Shanghai,Miku Expo 2015 China,Star Fragment,marasy,Miku,0.1
Miku Expo 2016 Fukuoka,2016,Japan,Fukuoka,Miku Expo 2016 Japan,World is Mine,"ryo, supercell",Miku,67.5
Miku Expo 2016 Fukuoka,2016,Japan,Fukuoka,Miku Expo 2016 Japan,The Disappearance of Hatsune Miku -DEAD END-,cosMo@BousouP,Miku,20.7
Miku Expo 2016 Fukuoka,2016,Japan,Fukuoka,Miku Expo 2016 Japan,Two-Sided Lovers,Wowaka,Miku,43.5
Miku Expo 2016 Fukuoka,2016,Japan,Fukuoka,Miku Expo 2016 Japan,Unhappy Refrain,wowaka,Miku,18.3
Miku Expo 2016 Fukuoka,2016,Japan,Fukuoka,Miku Expo 2016 Japan,World's End Dancehall,wowaka,Miku & Luka,45.5
Miku Expo 2016 Fukuoka,2016,Japan,Fukuoka,Miku Expo 2016 Japan,magnet,Minato Takahiro,Miku & Luka,10.1
Miku Expo 2016 Fukuoka,2016,Japan,Fukuoka,Miku Expo 2016 Japan,Weekender Girl,kz & HachioujiP,Miku,15.7
Miku Expo 2016 Fukuoka,2016,Japan,Fukuoka,Miku Expo 2016 Japan,Common World Denomination,PinnochioP,Miku,19.7
Miku Expo 2016 Fukuoka,2016,Japan,Fukuoka,Miku Expo 2016 Japan,Love Words,DECO*27,Miku,5.2
